0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
0 0.00  ;1 1.00  ;0 0.00  ;0 0.00  ;0 0.00  ;3 3.00  ;
